"","ota","hotel_id","nextbook","logbook","bookings","volume","time","respond","tailor","defensive","invitecont","explain","nonverbal","apology","compensate","chanchange","gratitude","info","personalize","signame","sigdepart","sighotel","sigmanager","sigstaff"
"1","Booking",1,191,4.00733318523247,54,3.09104245335832,0.402464065708419,1,2.30258509299405,1.79175946922805,1.94591014905531,1.79175946922805,0,1.09861228866811,1.6094379124341,0.693147180559945,1.38629436111989,1.38629436111989,2.07944154167984,2.484906649788,0,0,2.484906649788,0
"2","Booking",1,188,5.25749537202778,191,3.63758615972639,0.421629021218344,1,1.94591014905531,1.38629436111989,1.79175946922805,1.38629436111989,0,0,0,0,0,0.693147180559945,1.6094379124341,2.19722457733622,0,0,2.07944154167984,0
"3","Booking",1,182,5.24174701505964,188,4.14313472639153,0.440793976728268,1,1.94591014905531,1.38629436111989,1.79175946922805,1.79175946922805,0,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,1.79175946922805,1.94591014905531,0,0,1.79175946922805,0
"4","Booking",1,163,5.20948615284142,182,4.39444915467244,0.459958932238193,1,2.39789527279837,1.79175946922805,1.38629436111989,1.79175946922805,0,1.79175946922805,0,0,1.79175946922805,1.6094379124341,1.94591014905531,2.63905732961526,0,0,2.63905732961526,0
"5","Booking",1,150,5.0998664278242,163,4.65396035015752,0.479123887748118,1,2.19722457733622,1.09861228866811,1.79175946922805,1.6094379124341,0,1.09861228866811,1.09861228866811,0.693147180559945,0,0.693147180559945,2.07944154167984,2.19722457733622,0,0,2.19722457733622,0
"6","Booking",1,186,5.01727983681492,150,4.77068462446567,0.498288843258042,1,1.79175946922805,1.6094379124341,1.79175946922805,1.6094379124341,0,1.09861228866811,0,0,1.38629436111989,0,1.79175946922805,1.94591014905531,0,0,1.94591014905531,0
"7","Booking",1,173,5.23110861685459,186,4.91998092582813,0.517453798767967,1,1.94591014905531,1.6094379124341,1.79175946922805,1.6094379124341,0,0.693147180559945,0,0,1.38629436111989,1.09861228866811,1.38629436111989,2.19722457733622,0,0,2.19722457733622,0
"8","Booking",1,117,5.15905529921453,173,5.02388052084628,0.536618754277892,1,1.94591014905531,0.693147180559945,2.07944154167984,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,1.94591014905531,2.30258509299405,0,0,2.30258509299405,0
"9","Booking",1,269,4.77068462446567,117,5.11198778835654,0.555783709787817,1,1.09861228866811,1.09861228866811,0,0.693147180559945,0,0,0,0,1.38629436111989,0.693147180559945,0.693147180559945,1.94591014905531,0,0,1.94591014905531,0
"10","Booking",1,221,5.59842195899838,269,5.2257466737132,0.574948665297741,1,1.94591014905531,0.693147180559945,0,1.38629436111989,0,1.38629436111989,0.693147180559945,0,0,1.09861228866811,1.38629436111989,2.07944154167984,0,0,2.07944154167984,0
"11","Booking",1,425,5.40267738187228,221,5.33271879326537,0.594113620807666,1,1.94591014905531,1.38629436111989,0,1.38629436111989,0,0.693147180559945,0,0,0.693147180559945,0,1.6094379124341,2.19722457733622,0,0,2.19722457733622,0
"12","Booking",1,266,6.05443934626937,425,5.38449506278909,0.613278576317591,1,1.94591014905531,1.79175946922805,0.693147180559945,1.09861228866811,0,0.693147180559945,0,0,1.09861228866811,1.6094379124341,1.79175946922805,2.07944154167984,0,0,2.07944154167984,0
"13","Booking",1,196,5.58724865840025,266,5.47227067367148,0.632443531827515,1,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,1.09861228866811,0,0,1.09861228866811,0
"14","Booking",1,256,5.28320372873799,196,5.57215403217776,0.65160848733744,1,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0
"15","Booking",1,260,5.54907608489522,256,5.67332326717149,0.670773442847365,1,0.693147180559945,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,1.09861228866811,1.09861228866811,0,0,1.09861228866811,0
"16","Booking",1,256,5.56452040732269,260,5.72358510195238,0.68993839835729,1,2.19722457733622,1.79175946922805,1.38629436111989,1.79175946922805,0,0.693147180559945,0,0,0.693147180559945,1.6094379124341,1.6094379124341,2.19722457733622,0,0,2.19722457733622,0
"17","Booking",1,282,5.54907608489522,256,5.80211837537706,0.709103353867214,1,1.6094379124341,0.693147180559945,0.693147180559945,1.09861228866811,0,0,0.693147180559945,0,0.693147180559945,1.09861228866811,1.6094379124341,1.79175946922805,0,0,1.79175946922805,0
"18","Booking",1,186,5.64544689764324,282,5.8805329864007,0.728268309377139,1,2.63905732961526,1.38629436111989,2.07944154167984,1.6094379124341,0,1.38629436111989,0,0,1.38629436111989,1.6094379124341,2.07944154167984,2.70805020110221,0,0,2.70805020110221,0.693147180559945
"19","Booking",1,218,5.23110861685459,186,5.92425579741453,0.747433264887064,1,2.19722457733622,1.6094379124341,0,1.38629436111989,0,1.6094379124341,1.09861228866811,0,1.09861228866811,1.94591014905531,2.07944154167984,2.39789527279837,0,0,2.39789527279837,0
"20","Booking",1,171,5.3890717298165,218,5.96100533962327,0.766598220396988,1,1.94591014905531,1.09861228866811,0,1.38629436111989,0,1.38629436111989,0,1.09861228866811,0.693147180559945,1.94591014905531,1.94591014905531,2.07944154167984,0,0,2.07944154167984,0
"21","Booking",1,277,5.14749447681345,171,6.01126717440416,0.785763175906913,1,1.79175946922805,0,0,1.09861228866811,0,1.6094379124341,1.38629436111989,0.693147180559945,0,1.09861228866811,1.6094379124341,2.07944154167984,0,0,2.07944154167984,0
"22","Booking",1,276,5.62762111369064,277,6.05208916892442,0.804928131416838,1,2.39789527279837,1.6094379124341,0.693147180559945,1.79175946922805,0,1.38629436111989,0.693147180559945,0.693147180559945,0,1.38629436111989,2.07944154167984,2.39789527279837,0,0,2.39789527279837,0
"23","Booking",1,196,5.62401750618734,276,6.08904487544685,0.824093086926763,1,1.6094379124341,0,0.693147180559945,0,0,1.6094379124341,0,0,0,1.09861228866811,1.38629436111989,2.07944154167984,0,0,2.07944154167984,0
"24","Booking",1,179,5.28320372873799,196,6.12686918411419,0.843258042436687,1,1.6094379124341,0.693147180559945,0,0.693147180559945,0,1.38629436111989,0,0,0.693147180559945,1.6094379124341,1.38629436111989,1.79175946922805,0,0,1.79175946922805,0
"25","Booking",1,204,5.19295685089021,179,6.17378610390194,0.862422997946612,1,2.30258509299405,1.94591014905531,1.79175946922805,1.94591014905531,0,1.79175946922805,1.09861228866811,0,1.09861228866811,1.09861228866811,1.94591014905531,2.30258509299405,0,0,2.30258509299405,0
